IO Id,IO Name,Agency Name,Advertiser Name,Currency Type,Currency Exchange Rate,Ad Relevance,Booking Date,TA Rebate,IO Type,Agency Parent Company,Agency Type,ClientName
368547,TF.Opera.OMD.Renault.Transv.Nov.13,OMD,Renault S.A.,EUR,0.73,,,0,,Independent,Independent,
373227,Sheraton MYT 2013,LBI,"Starwood Hotels & Resorts Worldwide, Inc",EUR,0.73,,,0,,Publicis Groupe,Holding Company,
385367,CANCELLED First Direct FFV Q1 2014,Mindshare,HSBC,GBP,0.6,,,0,,WPP,Holding Company,
373227,Sheraton MYT Dec'2013,LBI,"Starwood Hotels & Resorts Worldwide, Inc",EUR,0.73,,,0,,Publicis Groupe,Holding Company,
193657,Coastal Contacts Japan Dec 2011,Direct,Coastal Contacts Inc.,CAD,1,,,0,,Direct,Direct,
452207,2014 Sonata Q4 Heavy Up,Initiative Media,Hyundai Motor Group,USD,1,,,0,,Interpublic,Holding Company,
438047,2015 Tourism Whistler Dreaming US Phase 2 Jan5_21,Wasserman & Partners,Tourism Whistler,CAD,1.09,,,0,,Independent,Independent,
438027,2015 Tourism Whistler Dreaming Canada Phase 2 Jan5_21,Wasserman & Partners,Tourism Whistler,CAD,1.09,,,0,,Independent,Independent,
322197,FY14 Personalized Retargeting - HT Last Action,Razorfish,Best Buy,USD,1,,,0,,Publicis Groupe,Holding Company,
497497,Blaze.iLatina.Elektra.BackToSchool.8.10-8.31.2015,I Latina,Promo Espacio,MXN,16.13,,,0,,Independent,Independent,
501727,Venetian Macao Bon Jovi Ticketing,Carat,Las Vegas Sands Corp,USD,1,,,0,,Aegis,Holding Company,
501707,Fed Gov_DFR_Regional ARES_Sep-Oct_2015,Mitchell & Partners,Australian Federal Government,AUD,1.4,,,0,,Aegis,Holding Company,
274477,Coastal Contacts US Nov 2012 CPA,Direct,Coastal Contacts Inc.,CAD,0.98,Consumer Goods,,0,,Direct,Direct,
286067,Regional Toyota_BehavioralTargeting_2013,Hoffman Lewis,Toyota Motor Corporation,USD,1,Automotive,,0,,Independent,Independent,
287017,Jucy NZ NZ Eyes 2013-14,HSM Digital,JUCY Group Limited,NZD,1.22,Automotive,,0,,Independent,Independent,
287877,Hoffman Lewis_Toyota_Hispanic_2013,Hoffman Lewis,Toyota Motor Corporation,USD,1,Automotive,,0,,Independent,Independent,
291177,13TDA_Nebraska,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291197,13TDA_Missouri,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291207,13TDA_Kansas,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291237,13TDA_Iowa,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291257,13TDA_Chicago Region,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291277,13TDA_Portland,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291507,13TDA_Utah,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291517,13TDA_Colorado,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291527,13TDA_Arizona,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291917,13TDA_South Dakota,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
291927,13TDA_North Dakota,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
292427,Texzus P4H FY 2013 CPA,Direct,TexZus Capital Ventures,USD,1,Finance,,0,,Direct,Direct,
292437,Primal Burn CPA FY13,Direct,TexZus Capital Ventures,USD,1,Finance,,0,,Direct,Direct,
293807,CY13TDA_Chicago Region_Wausau DMA,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
293817,CY13TDA_Chicago Region_La Crosse DMA,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
293827,CY13TDA_Chicago Region_Sheboygan DMA,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
293847,CY13TDA_Chicago Region_Ft Wayne DMA,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
293857,CY13TDA_Chicago Region_Madison DMA,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
293897,CY13TDA_Kansas Region_Sioux Falls DMA,Saatchi & Saatchi,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
295667,Wedding Wishes 2013,Universal McCann,Kohls Corporation,USD,1,Retail,,0,,Interpublic,Holding Company,
297307,In Market User Targeting_CY13 Upfront,Team One Advertising,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
297947,Rabobank Arbeidsmarketing communicatie ICT,Initiative Media,RaboBank,EUR,0.73,Finance,,0,,Interpublic,Holding Company,
299257,TribalFusion/Brand/Civic/Arbitrage/Feb2013,303LOWE,Civic Video Entertainment Ltd,AUD,0.96,Entertainment,,0,,Interpublic,Holding Company,
305707,Astro On The Go- Part 2.Display,Mindshare,MEASAT Satellite Systems Sdn. Bhd,USD,1,Entertainment,,0,,WPP,Holding Company,
308227,FY14 Personalized Retargeting - LG HT,Razorfish,Best Buy,USD,1,Retail,,0,,Publicis Groupe,Holding Company,
311687,SC2_FY14_CONQUESTING,Zenithoptimedia,Toyota Motor Corporation,USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
312047,FY13 Hawaiian Airlines - Display - Australia,Razorfish,Hawaiian Holdings Inc.,USD,1,Travel and Transport,,0,,Publicis Groupe,Holding Company,
312127,000001_13Y_N_Wed Wishes Registry,Zenithoptimedia,Kohls Corporation,USD,1,Retail,,0,,Publicis Groupe,Holding Company,
312157,Alaska Airlines_Disney Travel_4.1.2013-12.31.2013,AdReady,Alaska Air Group Inc.,USD,1,Travel and Transport,,0,,Independent,Independent,
312737,FY13 Infiniti Q1-Q2 1H In-Market Targeting,OMD,Nissan Motor Company Ltd,USD,1,Automotive,,0,,Independent,Independent,
313847,FY13 Nissan Q1-Q4 LEAF Lifestyle,OMD,Nissan Motor Company Ltd,USD,1,Automotive,,0,,Independent,Independent,
